"Date","Price","Open","High","Low","Vol.","Change %"
"08/27/2025","4558.69","4596.53","4601.33","4540.72","798.07K","-0.91%"
"08/26/2025","4600.77","4376.34","4631.31","4320.12","899.03K","5.17%"
"08/25/2025","4374.73","4780.14","4796.61","4337.83","1.12M","-8.48%"
"08/24/2025","4779.86","4778.43","4955.90","4717.60","845.37K","0.03%"
"08/23/2025","4778.43","4831.22","4831.22","4663.42","549.58K","-1.09%"
"08/22/2025","4831.21","4225.28","4886.62","4209.40","1.38M","14.36%"
"08/21/2025","4224.52","4336.16","4339.33","4205.98","481.10K","-2.56%"
"08/20/2025","4335.37","4075.81","4375.03","4069.39","775.52K","6.37%"
"08/19/2025","4075.57","4313.46","4353.58","4067.90","886.22K","-5.47%"
"08/18/2025","4311.42","4472.43","4480.05","4227.41","886.81K","-3.60%"
"08/17/2025","4472.21","4421.48","4574.39","4395.64","471.90K","1.12%"
"08/16/2025","4422.56","4439.55","4489.73","4375.78","382.87K","-0.39%"
"08/15/2025","4440.05","4548.30","4665.69","4374.40","940.29K","-2.36%"
"08/14/2025","4547.35","4748.71","4787.25","4457.23","1.37M","-4.22%"
"08/13/2025","4747.87","4585.82","4782.21","4566.19","1.01M","3.42%"
"08/12/2025","4590.71","4223.41","4633.48","4223.41","972.25K","8.70%"
"08/11/2025","4223.42","4250.51","4361.60","4168.10","791.47K","-0.63%"
"08/10/2025","4250.18","4260.74","4330.30","4163.41","534.67K","-0.25%"
"08/09/2025","4260.74","4010.46","4323.72","4007.19","759.17K","6.28%"
"08/08/2025","4008.96","3900.74","4062.74","3880.25","809.06K","2.53%"
"08/07/2025","3909.96","3681.64","3925.12","3649.75","688.92K","6.15%"
"08/06/2025","3683.36","3609.32","3697.70","3565.08","401.22K","1.98%"
"08/05/2025","3611.69","3718.66","3719.30","3548.52","528.41K","-2.93%"
"08/04/2025","3720.89","3499.23","3734.29","3491.16","514.08K","6.42%"
"08/03/2025","3496.26","3403.62","3521.19","3358.01","326.76K","3.02%"
"08/02/2025","3393.92","3495.06","3537.10","3374.76","546.44K","-2.71%"
"08/01/2025","3488.36","3695.36","3724.02","3433.97","871.70K","-5.68%"
"07/31/2025","3698.46","3807.11","3877.70","3685.32","576.38K","-2.90%"
"07/30/2025","3808.91","3791.80","3833.91","3682.25","586.47K","0.39%"
"07/29/2025","3793.94","3793.22","3884.94","3717.75","648.34K","-0.08%"
"07/28/2025","3796.91","3866.14","3940.69","3755.56","684.41K","-1.93%"
"07/27/2025","3871.74","3740.60","3878.07","3732.33","501.29K","3.50%"
